system:index,CO2 emissions (non-biogenic),Industry Type (sectors),Industry Type (subparts),Latitude,Longitude,Methane (CH4) emissions,Nitrous Oxide (N2O) emissions,Stationary Combustion,Total reported direct emissions,u_component_of_wind_10m_2020_10km,u_component_of_wind_10m_2020_1km,u_component_of_wind_10m_2020_5km,u_component_of_wind_10m_2021_10km,u_component_of_wind_10m_2021_1km,u_component_of_wind_10m_2021_5km,u_component_of_wind_10m_2022_10km,u_component_of_wind_10m_2022_1km,u_component_of_wind_10m_2022_5km,u_component_of_wind_10m_2023_10km,u_component_of_wind_10m_2023_1km,u_component_of_wind_10m_2023_5km,u_component_of_wind_10m_2024_10km,u_component_of_wind_10m_2024_1km,u_component_of_wind_10m_2024_5km,v_component_of_wind_10m_2020_10km,v_component_of_wind_10m_2020_1km,v_component_of_wind_10m_2020_5km,v_component_of_wind_10m_2021_10km,v_component_of_wind_10m_2021_1km,v_component_of_wind_10m_2021_5km,v_component_of_wind_10m_2022_10km,v_component_of_wind_10m_2022_1km,v_component_of_wind_10m_2022_5km,v_component_of_wind_10m_2023_10km,v_component_of_wind_10m_2023_1km,v_component_of_wind_10m_2023_5km,v_component_of_wind_10m_2024_10km,v_component_of_wind_10m_2024_1km,v_component_of_wind_10m_2024_5km,.geo
20,174480.5,Power Plants,C,40.7711,-73.9911,84.75,106.088,174671.338,174671.338,2.11662161863687,2.15354209286826,2.1412273306417235,0.3589944624767655,0.35978626069568453,0.3649072907520346,1.1318414703431086,1.1511865116301037,1.1458748276361195,1.1210338277589436,1.1243062076114474,1.1402159970168793,0.8263137077786884,0.8297526155199323,0.8364978336475417,0.12688674994438104,0.15605369635990687,0.13240785586379286,-1.8531221339429007,-1.8760813020524525,-1.86074483814317,-0.5797491263126939,-0.5825302657626924,-0.5801376215197167,0.2848563199697563,0.323942053885687,0.2993385496109394,-0.8778493063104048,-0.8661661715734572,-0.8743949668774939,"{""type"":""Point"",""coordinates"":[-73.9911,40.7711]}"
21,25078.1,Other,C,29.75579,-95.29791,11.75,14.006,25103.856,25103.856,0.8700728460918788,0.8688489350061568,0.8735262127303094,1.400658573622832,1.4031977577814978,1.4059097191848655,0.7375317307214193,0.7363644630189926,0.7420916606407214,0.044969573825342356,0.04148440701620919,0.04685022204999298,-1.2309473488193958,-1.2398352131010995,-1.2355412078793597,0.490495435839285,0.49081215215107754,0.4922441505557321,0.4874427081137652,0.490115103267488,0.490347932357739,0.07931869807674433,0.08352508052947029,0.0816692137810254,1.8677095349774133,1.872101698602949,1.876078897062569,-0.9686627820162007,-0.9692971782078819,-0.9713707501056725,"{""type"":""Point"",""coordinates"":[-95.29791000000002,29.75579]}"
22,250942.1,Power Plants,C,40.768,-73.9515,106.25,127.246,251175.596,251175.596,2.1267966889860457,2.15354209286826,2.1372693826353237,0.353499118376474,0.35978626069568453,0.3572933885929076,1.1359989302498954,1.1511865116301037,1.1421456859653742,1.1043604349418539,1.1243062076114474,1.114083408452537,0.8194791615892488,0.8297526155199323,0.8237120681053223,0.14774205221901676,0.15605369635990687,0.15291411482527356,-1.8678436891860843,-1.8760813020524525,-1.8692195493684414,-0.5827367331779135,-0.5825302657626924,-0.5811413457987015,0.30575517896963533,0.323942053885687,0.3154609639261182,-0.8720301961807115,-0.8661661715734572,-0.8659280357549347,"{""type"":""Point"",""coordinates"":[-73.9515,40.768]}"
23,106435.2,Power Plants,C,46.793722,-88.616566,50.25,59.898,106545.348,106545.348,2.231837261908066,2.049323110353379,2.200865920795375,0.7407647035172512,0.6582452683221727,0.7272732720186644,0.2525052738160648,0.2521386600676037,0.2567252758184586,-0.21135543194963602,-0.1711533580507551,-0.20407500399886172,1.3029605275253946,1.1487804708026705,1.2817549644149426,0.5252506684162784,0.5715694143658593,0.5296520026621485,0.9045052775901906,0.9003265755517142,0.8964815585929693,-0.4845065375199378,-0.35396813778650194,-0.4679404269598175,-0.5436129212585218,-0.479707848458063,-0.5333323473142877,0.11784050737931553,0.17213193575541177,0.12394314010334109,"{""type"":""Point"",""coordinates"":[-88.616566,46.793721999999995]}"
24,53400.4,Other,C,42.30227,-87.89065,25.25,30.098,53455.748,53455.748,3.779469982703791,3.9988877262387956,3.7841444248404033,-0.17009291200014712,-0.18364315941220238,-0.16601252842331443,3.202322637467157,3.3770805313473655,3.2052136666519035,1.1040538302819727,1.167682585262117,1.1040203571850107,2.1958510029751594,2.3399985290708996,2.1988635106674557,1.014989925909412,1.0606622866221838,1.0149574870261076,-0.9744691526903001,-1.0441190799077351,-0.9765320495334687,-1.0377524959156548,-1.195400255067008,-1.0457172250026165,-0.14648678128505466,-0.18955906799861366,-0.15179160933628258,-0.3486434175590608,-0.4035843553997221,-0.3493356117949679,"{""type"":""Point"",""coordinates"":[-87.89065,42.30227000000001]}"
25,61626.2,Chemicals,C,18.433237,-66.570509,31.25,42.018,61699.468,61699.468,-1.9608423712755805,,-1.9453145152046567,-2.575788020189648,,-2.5726797921316966,-2.5635908993784384,,-2.570237409500849,-2.606323233816872,,-2.598582557269505,-1.4010120983370087,,-1.4060988539741153,-0.8718539843291148,,-0.8710052229109264,-0.7780439148418743,,-0.7794219596045358,-0.5096584435974297,,-0.5078406731287638,-0.4924561500485174,,-0.48940662542978924,-0.40407680336236623,,-0.39388194538298105,"{""type"":""Point"",""coordinates"":[-66.570509,18.433237]}"
26,159635,Metals,"C,Q",33.580769,-86.781281,47.5,96.254,146607.342,159778.754,1.130775420947361,1.1515337455840338,1.1360450619507683,0.12840952876178882,0.13498796735491073,0.129570159799165,0.7295259009192003,0.7520863442193895,0.7343988287987134,0.6681336811168297,0.672866940498352,0.6691598792503182,0.10339810310061805,0.12193081492469424,0.10816525630588564,0.7754914950056438,0.7765865042096093,0.7760500634654846,0.31983065226229906,0.3117761895770118,0.31914496865944303,0.04255909770819311,0.04886389346349807,0.04459066450404674,1.5119385788451027,1.5072073766163416,1.5113115052132144,-0.5451995536141288,-0.5561075778234572,-0.546899416286093,"{""type"":""Point"",""coordinates"":[-86.781281,33.58076899999999]}"
27,197724,Other,C,45.442417,-98.787139,93.25,111.154,197928.404,197928.404,4.743194861690099,4.635452435130165,4.741264909431153,0.616007052446291,0.5712527320498512,0.6200958481408599,1.1435285588979087,1.114800839197068,1.1456567876619803,1.5550596119807512,1.4832074585415067,1.5571221035524718,0.693525925455087,0.6898920081910633,0.6947544756389801,-1.2858150398725636,-1.2186411278588432,-1.3027390068336238,0.8454651891833919,0.9027534496216547,0.8356469015131023,-1.29376796590376,-1.2861726113728114,-1.2983892797527457,-2.4571343335176192,-2.447152858688718,-2.4699949982172265,0.09157229102796302,0.10290934925987608,0.08823842512336291,"{""type"":""Point"",""coordinates"":[-98.78713900000001,45.442417]}"
28,4779.2,Other,C,39.481881,-76.137166,2.25,2.682,4784.132,4784.132,1.860693979454501,1.9340160744530814,1.8937314649880759,0.6963005344758234,0.7152259463355655,0.7038101688508066,0.9726549285204835,1.0122966539292109,0.9894099235534669,1.4218671828197473,1.4662687494641258,1.4442970776521302,0.943805608745329,0.9843517598651704,0.9588221884726014,0.06912191369638272,0.09044671626318068,0.0800290182805098,-1.6757632695150615,-1.752075303168524,-1.707504263121961,-0.41145541929181784,-0.42451605910346624,-0.4170075629347115,0.3974212523628843,0.4317708299273536,0.4119732191302626,-0.8670507806753996,-0.9006452219826835,-0.8794294579237836,"{""type"":""Point"",""coordinates"":[-76.137166,39.481881]}"
29,151104.8,Other,C,43.49951,-92.91709,71.25,84.93,151260.98,151260.98,2.775674761631788,2.771079157854056,2.775809078608756,-0.09251789571918966,-0.1058453976849973,-0.09434548910562093,2.077572353164871,2.0835413272246655,2.077158635209649,0.14890276787084933,0.15423219389729684,0.148091383413835,1.3257270199911935,1.3205476684487742,1.3251189242193708,0.4701479227511914,0.46303965880241227,0.4677608206158592,1.248128596528784,1.2613595651857783,1.245164626294916,-0.897063558855098,-0.90851797840812,-0.9010423607640452,-1.6324776687663354,-1.6702704393502439,-1.6313630241336246,0.28790769721522474,0.2895012201168837,0.2871023799433853,"{""type"":""Point"",""coordinates"":[-92.91709,43.499509999999994]}"
