system:index,CO2 emissions (non-biogenic),Industry Type (sectors),Industry Type (subparts),LST_2020_10km,LST_2020_1km,LST_2020_5km,LST_2021_10km,LST_2021_1km,LST_2021_5km,LST_2022_10km,LST_2022_1km,LST_2022_5km,LST_2023_10km,LST_2023_1km,LST_2023_5km,LST_2024_10km,LST_2024_1km,LST_2024_5km,Latitude,Longitude,Methane (CH4) emissions,Nitrous Oxide (N2O) emissions,Stationary Combustion,Total reported direct emissions,.geo
39,40665.2,Other,C,23.658626606235735,24.173565422132555,23.841982002630868,23.453628467548015,23.547621257988588,23.650415917369475,28.391012539903894,29.08751900437272,28.67537682104372,26.516394837672788,26.825882946518703,26.65770035609415,24.443381587760165,24.482942482341098,24.65781068548121,37.80725,-94.585301,19.25,22.946,40707.396,40707.396,"{""type"":""Point"",""coordinates"":[-94.585301,37.80725]}"
40,29796.8,Other,C,24.13472433199935,24.086739267676787,23.991522312951023,22.78709002328494,21.757324810606104,22.802526660698497,22.560910301962693,21.757493686868695,22.20499313837196,24.131991788798366,23.345994318181848,23.575442032445377,24.115415460267126,23.242517361111155,23.755715565261443,41.1494,-83.43295,14,16.688,29827.488,29827.488,"{""type"":""Point"",""coordinates"":[-83.43295,41.1494]}"
41,112700.3,Other,C,22.924524746549462,20.673574723846684,22.14047149177361,22.862294386090515,20.86014944769334,22.45350739723202,22.921337825253172,21.415662768031208,22.382942634369105,24.94276997759801,22.94793209876546,24.401034981994464,23.381925764957444,22.213091293047466,22.841207305837663,39.903884,-91.410552,53,63.176,112816.476,112816.476,"{""type"":""Point"",""coordinates"":[-91.410552,39.903884000000005]}"
42,18121,Pulp and Paper,C,21.504142861077305,21.09456250000002,21.56626798776711,21.556231132822475,20.523270833333356,21.45154805692168,22.796000595816,22.488121527777817,22.749711707669427,23.70721848126197,23.256661458333358,23.885817305175593,23.23459707078877,22.739322916666694,23.177195003512868,34.997921,-85.318581,8.5,10.132,18139.632,18139.632,"{""type"":""Point"",""coordinates"":[-85.318581,34.997921]}"
43,108015.5,Other,C,24.403322870920153,26.912549206349244,25.464611270332107,26.07271567892262,28.42144444444448,27.046848700253936,23.760411451952404,26.582679365079382,24.69696026598286,25.82996935009044,28.492904761904786,26.73863884908366,23.599408282510105,25.88788208616783,24.393571128685302,41.626329,-93.583205,167.5,275.352,108458.352,108458.352,"{""type"":""Point"",""coordinates"":[-93.58320500000002,41.626329]}"
44,82223.2,Chemicals,C,22.549925745054836,22.68666250000003,22.588975794240465,23.090686736228648,23.423546875000028,23.428866419019347,22.71084749835499,22.799270833333356,22.893120108964848,23.47898199555841,23.63642465277779,23.755527736503247,22.4575507656179,22.554101562500037,22.75805888487938,33.94516,-78.00117,38.75,46.19,82308.14,82308.14,"{""type"":""Point"",""coordinates"":[-78.00117,33.94516]}"
45,62511.6,Other,C,25.29283988272442,27.189808701905818,25.90680594774077,24.577706035182718,25.8556310679612,25.360270391222784,26.728255495843836,28.861715210356,27.745340002887293,26.01037375217479,28.01264077669906,26.75149155478566,25.263625528964536,27.44774002157501,26.07214607024277,30.8325,-83.248056,29.75,36.058,62577.408,62577.408,"{""type"":""Point"",""coordinates"":[-83.248056,30.832500000000003]}"
46,915.2,Waste,"C,HH",18.668490852766887,19.867879521674173,18.995920787892224,20.853883502344587,21.88977399103143,21.066772081517,19.31187123026957,20.415026905829617,19.475864766845636,22.30401868064903,23.44363228699553,22.641122957400746,19.003261673824273,19.439098654708552,19.146496634911525,44.4093,-89.854855,21313.25,0.894,916.594,22229.344,"{""type"":""Point"",""coordinates"":[-89.85485500000001,44.4093]}"
47,503.6,Waste,"C,HH",21.0707684727299,21.31231317829461,21.295364311804263,22.970322760571985,23.781306976744215,23.417970854058396,22.51629102203359,22.93265581395351,22.742678702768774,24.646997725282713,24.928496124031057,24.766309355516036,22.50097227627091,23.291912558139565,22.751233871872568,42.14,-89.085,128978.5,0.298,504.148,129482.398,"{""type"":""Point"",""coordinates"":[-89.085,42.14]}"
48,692.4,Waste,"C,HH",24.208908981527127,23.75752165543795,23.878173062594552,23.00956781020441,21.478992621110066,22.26584706300029,22.227551450205585,21.20294834777033,21.839944138910433,25.046027568406632,24.303883541867208,24.97826344795473,24.12159450358632,22.734428136028264,23.706189020754227,39.822266,-89.043754,28374.25,0.298,692.948,29066.948,"{""type"":""Point"",""coordinates"":[-89.043754,39.82226599999999]}"
